,Coin Name,Status,Start Year,End Year
1080,Viking Coin,Abandoned or No Volume,2014,2015
1081,Victoriouscoin,Abandoned or No Volume,2016,2017
1082,VGINA,Abandoned or No Volume,2017,2019
1083,Versa,Abandoned or No Volume,2015,2015
1084,VelocityCoin,Abandoned or No Volume,2013,2014
1085,Vidio,Abandoned or No Volume,2014,2015
1086,Vibranium,Abandoned or No Volume,2015,2017
1087,VexCoin,Abandoned or No Volume,2014,2014
1088,VeniVidiVici,Abandoned or No Volume,2014,2014
1089,Veilcoin,Abandoned or No Volume,2014,2014
1090,VegasCoin,Abandoned or No Volume,2014,2019
1091,Variance,Scam or Other Issues,2015,2015
1092,Valorbit,Abandoned or No Volume,2016,2018
1093,UseCoin,Abandoned or No Volume,2014,2014
1094,UroDarkCoin,Abandoned or No Volume,2014,2014
1095,VectorAI,Abandoned or No Volume,2016,2016
1096,VapersCoin,Abandoned or No Volume,2016,2019
1097,UtilityCoin,Abandoned or No Volume,2014,2015
1098,USDe,Abandoned or No Volume,2017,2017
1099,UPcoin,Abandoned or No Volume,2015,2015
1100,Unrealcoin,Abandoned or No Volume,2015,2015
1101,UniverseCoin,Abandoned or No Volume,2014,2014
1102,UniQredit,Abandoned or No Volume,2016,2016
1103,UniBURST,Abandoned or No Volume,2017,2017
1104,Unattainium,Abandoned or No Volume,2014,2014
1105,UniversityCoin,Abandoned or No Volume,2014,2014
1106,UniteCoin,Abandoned or No Volume,2013,2014
1107,UnionCoin,Abandoned or No Volume,2013,2014
1108,UNCoin,Abandoned or No Volume,2017,2018
1109,Umbrella-LTC,Abandoned or No Volume,2014,2015
1110,Ulatech,Abandoned or No Volume,2018,2018
1111,UG Token,Abandoned or No Volume,2017,2018
1112,Tyrocoin,Abandoned or No Volume,2017,2018
1113,Twenty15,Abandoned or No Volume,2014,2015
1114,TuringCoin,Abandoned or No Volume,2015,2015
1115,UGAIN,Scam or Other Issues,2016,2018
1116,UCoin,Abandoned or No Volume,2014,2017
1117,Twistercoin,Abandoned or No Volume,2014,2015
1118,Twelve,Scam or Other Issues,2015,2015
1119,TurboStake,Abandoned or No Volume,2015,2019
1120,True Investment Coin,Scam or Other Issues,2017,2017
1121,TROPTIONS,Abandoned or No Volume,2013,2014
1122,Triaconta,Abandoned or No Volume,2017,2019
1123,Tradecoin,Abandoned or No Volume,2017,2017
1124,TopCoin,Abandoned or No Volume,2014,2019
1125,Gladius,ICO Fail or Short Lived,2017,2019
1126,Trinity,Abandoned or No Volume,2014,2019
1127,TrapCoin,Scam or Other Issues,2016,2016
1128,Tradebots,Abandoned or No Volume,2014,2015
1129,Topaz Coin,Scam or Other Issues,2017,2018
1130,Tomatocoin,Abandoned or No Volume,2014,2014
1131,TimesCoin,Abandoned or No Volume,2015,2018
1132,TileCoin,Abandoned or No Volume,2014,2015
1133,TickCoin,Scam or Other Issues,2015,2015
1134,TheoremCoin,Abandoned or No Volume,2014,2014
1135,TodayCoin,Abandoned or No Volume,2016,2016
1136,Timekoin,Abandoned or No Volume,2012,2015
1137,Tickets,Abandoned or No Volume,2013,2014
1138,Thorcoin,Abandoned or No Volume,2014,2014
1139,The Viral Exchange,Abandoned or No Volume,2015,2018
1140,The Vegan Initiative,Abandoned or No Volume,2017,2017
1141,TeraCoin,Abandoned or No Volume,2018,2019
1142,TenfiveCoin,Abandoned or No Volume,2014,2014
1143,TechShares,Abandoned or No Volume,2016,2018
1144,Teacoin,Abandoned or No Volume,2014,2018
1145,The Aladin,Abandoned or No Volume,2017,2018
1146,TenneT,Abandoned or No Volume,2015,2015
1147,TeleBET,Abandoned or No Volume,2015,2015
1148,Techcoin,Abandoned or No Volume,2014,2018
1149,TBCoin,Abandoned or No Volume,2016,2016
1150,Tamagucci,Abandoned or No Volume,2015,2015
1151,TakCoin,Abandoned or No Volume,2014,2014
1152,SwagBucks,Abandoned or No Volume,2015,2019
1153,Supreme,Abandoned or No Volume,2016,2016
1154,SuperTurboStake,Abandoned or No Volume,2015,2019
1155,Talkcoin,Abandoned or No Volume,2014,2014
1156,TacoCoin,Abandoned or No Volume,2014,2015
1157,SurgeCoin,Abandoned or No Volume,2014,2014
1158,Supply Shock,Abandoned or No Volume,2015,2017
1159,SuperNET,Abandoned or No Volume,2014,2018
1160,SUNcoin,Abandoned or No Volume,2018,2019
1161,Subcriptio,Abandoned or No Volume,2016,2016
1162,Stress,Abandoned or No Volume,2016,2016
1163,StockCoin,Abandoned or No Volume,2014,2014
1164,Steps,Abandoned or No Volume,2015,2016
1165,SummerCoin,Abandoned or No Volume,2014,2014
1166,StrikeBitClub,Abandoned or No Volume,2017,2018
1167,StopLossCoin,Abandoned or No Volume,2015,2015
1168,STLcoin,Abandoned or No Volume,2014,2014
1169,StealthCash,Abandoned or No Volume,2015,2015
1170,StarCoin,Abandoned or No Volume,2013,2014
1171,Stakers,Abandoned or No Volume,2016,2016
1172,StableCoin,Abandoned or No Volume,2013,2014
1173,SSVCoin,Abandoned or No Volume,2014,2014
1174,SproutsExtreme,Abandoned or No Volume,2016,2017
1175,Stakerush,Abandoned or No Volume,2015,2015
1176,Stakecoin,Abandoned or No Volume,2017,2018
1177,StabilityShares,Abandoned or No Volume,2014,2015
1178,SquareBit,Abandoned or No Volume,2014,2015
1179,SPP Coin,Abandoned or No Volume,2016,2017
1180,Spots,Scam or Other Issues,2016,2016
1181,SpikesPrivateCoin,Abandoned or No Volume,2015,2015
1182,Spark,Abandoned or No Volume,2014,2014
1183,SoulCoin,Abandoned or No Volume,2016,2018
1184,Solcoin,Abandoned or No Volume,2014,2014
1185,SpinCoin,Abandoned or No Volume,2015,2015
1186,SPEC,Abandoned or No Volume,2015,2015
1187,SpainCoin,Abandoned or No Volume,2014,2017
1188,Sonic,Abandoned or No Volume,2014,2015
1189,SocialxBot,Abandoned or No Volume,2014,2014
1190,SocialCoin,Abandoned or No Volume,2017,2018
1191,Atlant,Abandoned or No Volume,2018,2019
1192,SmartChips,Abandoned or No Volume,2015,2016
1193,SMAC,Abandoned or No Volume,2015,2015
1194,SkyNET,Scam or Other Issues,2018,2018
1195,Snowballs,Scam or Other Issues,2014,2014
1196,SnakeEyes,Abandoned or No Volume,2017,2017
1197,Smart Investment Fund Token,Abandoned or No Volume,2017,2018
1198,Sling,Abandoned or No Volume,2015,2015
1199,SkullBuzz,Abandoned or No Volume,2015,2015
1200,SISA,Scam or Other Issues,2017,2017
1201,Sianote,Abandoned or No Volume,2014,2019
1202,Shorty,Abandoned or No Volume,2016,2017
1203,ShopCoin,Scam or Other Issues,2018,2018
1204,Shilling,Abandoned or No Volume,2016,2019
1205,Silkcoin,Abandoned or No Volume,2014,2014
1206,SiameseCoin,Abandoned or No Volume,2014,2014
1207,ShopX,Abandoned or No Volume,2014,2014
1208,Shinycoin,Abandoned or No Volume,2014,2014
1209,SHIELD,Abandoned or No Volume,2017,2019
1210,ShibeCoin,Abandoned or No Volume,2014,2014
1211,ShellCoin,Abandoned or No Volume,2015,2016
1212,ShareCoin,Abandoned or No Volume,2014,2014
1213,Sexcoin,Abandoned or No Volume,2013,2019
1214,Selfiecoin,Abandoned or No Volume,2015,2018
1215,ShellPay,Abandoned or No Volume,2017,2018
1216,sharkfund0,Abandoned or No Volume,2014,2015
1217,ShadeCoin,Abandoned or No Volume,2014,2014
1218,Sembro Token,Abandoned or No Volume,2014,2016
1219,SeedCoin,Abandoned or No Volume,2014,2014
1220,SecurityCoin,Abandoned or No Volume,2015,2015
1221,Scotcoin,Abandoned or No Volume,2016,2019
1222,SaveCoin,Scam or Other Issues,2014,2014
1223,Saturn2Coin,Abandoned or No Volume,2014,2015
1224,SATOSHICARD,Abandoned or No Volume,2018,2019
1225,SecFund,Abandoned or No Volume,2015,2016
1226,Scattercoin,Abandoned or No Volume,2014,2014
1227,Saturncoin,Abandoned or No Volume,2014,2014
1228,SatoshiMadness,Abandoned or No Volume,2015,2018
1229,Sapience AIFX,Abandoned or No Volume,2014,2015
1230,Sand Coin,Abandoned or No Volume,2017,2018
1231,SaffronCoin,Abandoned or No Volume,2014,2017
1232,OneCoin,Scam or Other Issues,2018,2019
1233,Rustbits,Abandoned or No Volume,2017,2019
1234,Rupaya [OLD],Abandoned or No Volume,2014,2019
1235,SambaCoin,Abandoned or No Volume,2014,2014
1236,SafeCoin,Abandoned or No Volume,2018,2019
1237,SACoin,Abandoned or No Volume,2017,2018
1238,Rust,Abandoned or No Volume,2016,2016
1239,Ruble,Abandoned or No Volume,2014,2014
1240,RoyalCoin 2,Abandoned or No Volume,2016,2017
1241,Royal Kingdom Coin,Abandoned or No Volume,2017,2018
1242,ROXcoin,Abandoned or No Volume,2014,2014
1243,RotoCoin,Scam or Other Issues,2014,2015
1244,RootCoin,Abandoned or No Volume,2015,2015
1245,RoyalCoin,Abandoned or No Volume,2016,2016
1246,Foin,Scam or Other Issues,2018,2019
1247,Round,Abandoned or No Volume,2016,2018
1248,RosCoin,Abandoned or No Volume,2014,2015
1249,RiskCoin,Abandoned or No Volume,2015,2015
1250,RippleLite,Abandoned or No Volume,2015,2015
1251,RiotCoin,Abandoned or No Volume,2014,2014
1252,Riecoin,Abandoned or No Volume,2014,2019
1253,RhinoCoin,Abandoned or No Volume,2014,2014
1254,Revenu,Scam or Other Issues,2016,2016
1255,RipoffCoin,Abandoned or No Volume,2014,2017
1256,Ringo,Abandoned or No Volume,2014,2018
1257,Rhodiumcoin,Abandoned or No Volume,2016,2017
1258,RevoCoin,Abandoned or No Volume,2014,2014
1259,ReturnCoin,Abandoned or No Volume,2015,2015
1260,Resumeo Shares,Abandoned or No Volume,2014,2015
1261,RescueCoin,Abandoned or No Volume,2014,2014
1262,ReeCoin,Abandoned or No Volume,2016,2018
1263,Razor,Abandoned or No Volume,2014,2014
1264,Rasputin Online Coin,Abandoned or No Volume,2017,2018
1265,ReserveShare,Abandoned or No Volume,2014,2015
1266,REKTcoin,Abandoned or No Volume,2014,2014
1267,RealPointCoin,Abandoned or No Volume,2017,2017
1268,Rawcoin,Abandoned or No Volume,2014,2014
1269,RapidCoin,Abandoned or No Volume,2018,2018
1270,RainbowCoin,Abandoned or No Volume,2014,2014
1271,QuidCoin,Abandoned or No Volume,2014,2014
1272,Quedos,Abandoned or No Volume,2015,2015
1273,Quarkbar,Abandoned or No Volume,2014,2014
1274,Qibuck,Abandoned or No Volume,2014,2017
1275,QuitDough,Abandoned or No Volume,2015,2015
1276,Quicksilver,Abandoned or No Volume,2014,2015
1277,QuazarCoin,Abandoned or No Volume,2014,2019
1278,QQCoin,Abandoned or No Volume,2014,2014
1279,Pyramids,Abandoned or No Volume,2014,2018
1280,Pxlcoin,Abandoned or No Volume,2014,2014
1281,Putin Classic,Abandoned or No Volume,2017,2017
1282,Pure,Abandoned or No Volume,2017,2018
1283,PseudoCash,Abandoned or No Volume,2014,2014
1284,ProsperityCoin,Abandoned or No Volume,2015,2015
1285,PX,Abandoned or No Volume,2016,2017
1286,PurePOS,Abandoned or No Volume,2015,2015
1287,Psilocybin,Abandoned or No Volume,2015,2015
1288,ProzCoin,Abandoned or No Volume,2014,2014
1289,ProsperCoin,Abandoned or No Volume,2014,2017
1290,Prospectors Gold,Abandoned or No Volume,2017,2019
1291,ProfitCoin,Abandoned or No Volume,2014,2014
1292,ProCoin,Abandoned or No Volume,2014,2014
1293,PrimeChain,Scam or Other Issues,2015,2017
1294,PreminePlus,Abandoned or No Volume,2014,2016
1295,Project Decorum,Abandoned or No Volume,2016,2017
1296,PROCOM coin,Abandoned or No Volume,2016,2017
1297,Privatebet,Abandoned or No Volume,2014,2014
1298,President Clinton,Abandoned or No Volume,2016,2017
1299,Premine,Abandoned or No Volume,2014,2014
1300,POWCOIN,Abandoned or No Volume,2014,2015
1301,Pospro,Abandoned or No Volume,2016,2016
1302,PoolStamp,Abandoned or No Volume,2014,2016
1303,PokeCoin,Abandoned or No Volume,2016,2016
1304,PlutoniumCoin,Abandoned or No Volume,2014,2014
1305,PotatoCoin,Abandoned or No Volume,2014,2015
1306,Positron,Abandoned or No Volume,2015,2018
1307,Polybit,Abandoned or No Volume,2015,2015
1308,PokeChain,Abandoned or No Volume,2016,2016
1309,PlusCoin,Abandoned or No Volume,2017,2018
1310,PlanetCoin,Abandoned or No Volume,2015,2016
1311,HEROcoin,Abandoned or No Volume,2017,2019
1312,ShipChain,Limited Volume/Limited Exchanges,2018,2018
1313,Pioneershares,Abandoned or No Volume,2016,2016
1314,PIECoin,Abandoned or No Volume,2017,2017
1315,PLNcoin,Abandoned or No Volume,2014,2016
1316,Plankton,Abandoned or No Volume,2014,2015
1317,Pirate Blocks,Abandoned or No Volume,2017,2017
1318,Piggycoin,Abandoned or No Volume,2014,2019
1319,PiCoin,Scam or Other Issues,2017,2017
1320,Phreak,Abandoned or No Volume,2015,2015
1321,Pharma,Scam or Other Issues,2015,2015
1322,Pesobit,Abandoned or No Volume,2016,2017
1323,PeopleCoin,Abandoned or No Volume,2017,2018
1324,Pennies,Abandoned or No Volume,2014,2016
1325,PHCoin,Abandoned or No Volume,2014,2014
1326,Phalanx,Abandoned or No Volume,2015,2015
1327,Pesa,Abandoned or No Volume,2014,2014
1328,Pentacoin,Abandoned or No Volume,2015,2015
1329,Penguincoin (old),Abandoned or No Volume,2014,2018
1330,Pen,Abandoned or No Volume,2015,2015
1331,Peacecoin,Abandoned or No Volume,2014,2014
1332,PayProCoin,Abandoned or No Volume,2014,2014
1333,Dignity,Scam or Other Issues,2017,2019
1334,ParanoiaCoin,Abandoned or No Volume,2015,2015
1335,PeleCoin,Abandoned or No Volume,2014,2014
1336,PayzorCoin,Abandoned or No Volume,2014,2014
1337,Pawncoin,Scam or Other Issues,2014,2014
1338,Particle,Abandoned or No Volume,2017,2019
1339,ParallaxCoin,Abandoned or No Volume,2014,2014
1340,PapaFrancescoCoin,Abandoned or No Volume,2016,2016
1341,Pandacoin (PAND),Abandoned or No Volume,2014,2014
1342,PabyosiCoin,Abandoned or No Volume,2016,2016
1343,Ozziecoin,Abandoned or No Volume,2014,2017
1344,OttomanCoin,Abandoned or No Volume,2014,2014
1345,Pangea Poker,Abandoned or No Volume,2014,2015
1346,Palcoin,Abandoned or No Volume,2016,2016
1347,P7Coin,Abandoned or No Volume,2015,2015
1348,OX Fina,Abandoned or No Volume,2017,2017
1349,OrthoCoin,Abandoned or No Volume,2014,2014
1350,ORObit,Abandoned or No Volume,2014,2014
1351,OperaCoin,Abandoned or No Volume,2017,2017
1352,OPECCoin,Abandoned or No Volume,2014,2014
1353,Omnicoin,Abandoned or No Volume,2015,2015
1354,020LondonCoin,Abandoned or No Volume,2015,2019
1355,OrangeCoin,Abandoned or No Volume,2014,2015
1356,OpenSourcecoin,Scam or Other Issues,2013,2018
1357,OpalTKN,Abandoned or No Volume,2014,2016
1358,Omega,Abandoned or No Volume,2015,2015
1359,NXTventure,Abandoned or No Volume,2014,2015
1360,Nxttycoin,Abandoned or No Volume,2014,2017
1361,NXTprivacy,Abandoned or No Volume,2014,2014
1362,NXTmovie,Abandoned or No Volume,2014,2015
1363,NXE,Abandoned or No Volume,2015,2015
1364,NucleusTokens,Scam or Other Issues,2017,2018
1365,NxttyACCI,Abandoned or No Volume,2016,2017
1366,NxtPlugins,Abandoned or No Volume,2015,2015
1367,NXTInspect,Abandoned or No Volume,2014,2015
1368,NUTCoin,Abandoned or No Volume,2014,2016
1369,NuclearCoin,Abandoned or No Volume,2014,2016
1370,NTX,Abandoned or No Volume,2019,2019
1371,NopeCoin,Abandoned or No Volume,2014,2014
1372,NooCoin,Abandoned or No Volume,2014,2015
1373,NodeCoin,Abandoned or No Volume,2016,2016
1374,NobleNXT,Abandoned or No Volume,2014,2017
1375,NPCcoin,Abandoned or No Volume,2016,2019
1376,NoodlyAppendageCoin,Abandoned or No Volume,2014,2019
1377,NoirShares,Abandoned or No Volume,2014,2014
1378,Nocturna,Abandoned or No Volume,2015,2015
1379,NineElevenTruthCoin,Abandoned or No Volume,2015,2015
1380,Nimbus,Abandoned or No Volume,2014,2015
1381,NHZSPHERE,Abandoned or No Volume,2014,2015
1382,NewWorldOrderCoin,Abandoned or No Volume,2014,2014
1383,New Universal Dollar,Abandoned or No Volume,2014,2014
1384,NeuCoin,Abandoned or No Volume,2015,2016
1385,NicNac Coin,Abandoned or No Volume,2017,2018
1386,NFDCoin,Abandoned or No Volume,2014,2015
1387,New Universal Euro,Abandoned or No Volume,2014,2014
1388,NeuroDAO,Abandoned or No Volume,2017,2019
1389,netBit,Abandoned or No Volume,2016,2016
1390,Neptunecoin,Abandoned or No Volume,2015,2016
1391,Natcoin,Abandoned or No Volume,2017,2017
1392,Nakamoto Dark,Abandoned or No Volume,2014,2015
1393,Mysticoin,Abandoned or No Volume,2015,2016
1394,Mutual Coin,Abandoned or No Volume,2017,2018
1395,NeoDICE,Abandoned or No Volume,2014,2015
1396,Nanite,Abandoned or No Volume,2014,2014
1397,N5coin,Abandoned or No Volume,2014,2014
1398,MysteryCoin,Abandoned or No Volume,2015,2015
1399,Munne,Abandoned or No Volume,2014,2015
1400,Muniti,Abandoned or No Volume,2014,2015
1401,MugatuCoin,Abandoned or No Volume,2014,2014
1402,MtGoxCoin,Abandoned or No Volume,2014,2014
1403,Genexi,ICO Fail or Short Lived,2018,2019
1404,Monster Byte,Abandoned or No Volume,2017,2018
1405,MultiWalletCoin,Abandoned or No Volume,2014,2015
1406,MudraCoin,Abandoned or No Volume,2016,2016
1407,MozzShare,Abandoned or No Volume,2014,2015
1408,MorningStar,Abandoned or No Volume,2017,2018
1409,Monocle,Abandoned or No Volume,2014,2015
1410,MoneyCoin,Abandoned or No Volume,2016,2017
1411,MMXVI,Abandoned or No Volume,2016,2016
1412,MMNXT,Abandoned or No Volume,2014,2016
1413,MiracleCoin,Abandoned or No Volume,2014,2015
1414,MillionaireCoin,Scam or Other Issues,2014,2014
1415,MonetaVerde,Abandoned or No Volume,2014,2019
1416,Maieuticoin,Scam or Other Issues,2014,2015
1417,Mjollnircoin,Abandoned or No Volume,2014,2014
1418,Mineralscoin,Abandoned or No Volume,2014,2015
1419,MillenniumCoin,Abandoned or No Volume,2015,2015
1420,Midnight,Abandoned or No Volume,2015,2015
1421,microCoin,Abandoned or No Volume,2014,2015
1422,Metiscoin,Abandoned or No Volume,2014,2014
1423,MergeCoin,Abandoned or No Volume,2017,2018
1424,MegaStake,Scam or Other Issues,2015,2015
1425,MidasCoin,Abandoned or No Volume,2014,2014
1426,MGW,Abandoned or No Volume,2014,2016
1427,Metal Music Coin,Abandoned or No Volume,2015,2017
1428,Mercury Protocol,Abandoned or No Volume,2018,2019
1429,MediterraneanCoin,Abandoned or No Volume,2014,2016
1430,Mbitbooks,Scam or Other Issues,2017,2017
1431,MastCoin,Abandoned or No Volume,2014,2014
1432,MaskCoin,Scam or Other Issues,2015,2017
1433,MapCoin,Scam or Other Issues,2015,2016
1434,MantisCoin,Abandoned or No Volume,2014,2014
1435,Mavro,Abandoned or No Volume,2018,2019
1436,MasterTraderCoin,Scam or Other Issues,2015,2016
1437,MaryJane,Abandoned or No Volume,2014,2017
1438,MantraCoin,Abandoned or No Volume,2017,2017
1439,MangoCoinz,Abandoned or No Volume,2014,2016
1440,MammothCoin,Abandoned or No Volume,2014,2014
1441,Malcoin,Abandoned or No Volume,2017,2018
1442,Magicoin,Abandoned or No Volume,2014,2019
1443,Madcoin,Abandoned or No Volume,2017,2018
1444,MACDCoin,Abandoned or No Volume,2014,2015
1445,MalibuCoin,Abandoned or No Volume,2014,2014
1446,MaiaCoin,Abandoned or No Volume,2014,2017
1447,Magic Internet Money,Abandoned or No Volume,2014,2015
1448,Macro,Abandoned or No Volume,2015,2017
1449,Lyrabar,Abandoned or No Volume,2015,2016
1450,Lykke,Abandoned or No Volume,2016,2019
1451,LuckChain,Abandoned or No Volume,2016,2018
1452,LOVEcoin,Abandoned or No Volume,2014,2014
1453,Logicoin,Abandoned or No Volume,2014,2015
1454,LLToken,Abandoned or No Volume,2017,2018
1455,Lycancoin,Abandoned or No Volume,2014,2014
1456,LTBcoin,Abandoned or No Volume,2014,2016
1457,LottoShares,Abandoned or No Volume,2014,2015
1458,Local Family Owned,Abandoned or No Volume,2015,2017
1459,LiteStarCoin,Abandoned or No Volume,2015,2018
1460,LiteCoinX,Abandoned or No Volume,2018,2019
1461,LIQUID,Abandoned or No Volume,2015,2015
1462,LinkedCoin,Scam or Other Issues,2016,2016
1463,Limecoin,Abandoned or No Volume,2014,2014
1464,Lightcoin,Abandoned or No Volume,2014,2015
1465,LitecoinDark,Abandoned or No Volume,2014,2014
1466,Lion,Abandoned or No Volume,2014,2014
1467,LimitedCoin,Scam or Other Issues,2015,2015
1468,Lightspeed,Abandoned or No Volume,2014,2014
1469,Librexcoin,Abandoned or No Volume,2014,2015
1470,Libertycoin,Abandoned or No Volume,2014,2014
1471,LePen,Abandoned or No Volume,2017,2017
1472,LemurCoin,Abandoned or No Volume,2014,2015
1473,Lebowskis,Abandoned or No Volume,2013,2014
1474,LeafCoin,Abandoned or No Volume,2014,2018
1475,LeproCoin,Abandoned or No Volume,2014,2014
1476,LendConnect,Scam or Other Issues,2017,2018
1477,LegendaryCoin,Abandoned or No Volume,2014,2015
1478,LeagueCoin,Abandoned or No Volume,2014,2014
1479,KWHCoin,Abandoned or No Volume,2017,2018
1480,KuwaitCoin,Abandoned or No Volume,2016,2016
1481,Kryptonite,Scam or Other Issues,2014,2015
1482,Kryptkoin,Abandoned or No Volume,2014,2017
1483,KolschCoin,Abandoned or No Volume,2015,2016
1484,Kingdom Coin,Scam or Other Issues,2014,2015
1485,Kumacoin,Abandoned or No Volume,2014,2018
1486,Krypton,Abandoned or No Volume,2016,2016
1487,Kongzi Print Shop,Abandoned or No Volume,2014,2014
1488,Kittehcoin,Abandoned or No Volume,2014,2018
1489,KimDotCoin,Abandoned or No Volume,2014,2018
1490,KiloCoin,Scam or Other Issues,2016,2017
1491,KhanCoin,Scam or Other Issues,2015,2016
1492,KexCoin,Abandoned or No Volume,2017,2017
1493,Paymon,ICO Fail or Short Lived,2018,2019
1494,KarpelesCoin,Abandoned or No Volume,2014,2014
1495,KibiCoin,Abandoned or No Volume,2016,2018
1496,KeyCoin,Abandoned or No Volume,2014,2014
1497,Kayicoin,Abandoned or No Volume,2017,2018
1498,KashmirCoin,Abandoned or No Volume,2014,2015
1499,KarmaToken,Abandoned or No Volume,2016,2018
1500,Judgecoin,Abandoned or No Volume,2014,2015
1501,JIO Token,Abandoned or No Volume,2016,2017
1502,JiffyCoin,Abandoned or No Volume,2016,2016
1503,Isracoin,Abandoned or No Volume,2014,2014
1504,InvisibleCoin,Scam or Other Issues,2015,2015
1505,jl777hodl,Abandoned or No Volume,2014,2014
1506,Jinn,Abandoned or No Volume,2014,2017
1507,IvugeoCoin,Abandoned or No Volume,2015,2016
1508,Isiscoin,Scam or Other Issues,2014,2014
1509,International Diamond,Abandoned or No Volume,2016,2016
1510,Intellicoin,Abandoned or No Volume,2014,2017
1511,InstantDEX,Abandoned or No Volume,2014,2014
1512,InstaMineNuggets B,Abandoned or No Volume,2015,2015
1513,InstaMineNuggets,Abandoned or No Volume,2015,2015
1514,InkWayCoin,Abandoned or No Volume,2014,2014
1515,Intellect,Abandoned or No Volume,2015,2015
1516,Bitcoin Instant,Abandoned or No Volume,2018,2019
1517,InstaMineNuggets A,Abandoned or No Volume,2015,2015
1518,InsaneCoin,Abandoned or No Volume,2016,2019
1519,InformationCoin,Scam or Other Issues,2014,2014
1520,InfChain,Abandoned or No Volume,2017,2017
1521,IncognitoCoin,Abandoned or No Volume,2014,2019
1522,Impeachcoin,Scam or Other Issues,2017,2017
1523,iDice,Scam or Other Issues,2017,2017
1524,iBTC,Abandoned or No Volume,2017,2019
1525,Incrementum,Abandoned or No Volume,2016,2016
1526,ImperialCoin,Abandoned or No Volume,2014,2015
1527,Impact,Abandoned or No Volume,2017,2018
1528,IcebergCoin,Abandoned or No Volume,2014,2015
1529,Huskycoin,Abandoned or No Volume,2014,2014
1530,Hundredcoin,Abandoned or No Volume,2014,2014
1531,HRNXTPool,Abandoned or No Volume,2014,2015
1532,Hotcoin,Abandoned or No Volume,2018,2019
1533,Hommalicoin,Abandoned or No Volume,2016,2017
1534,HitCoin,Abandoned or No Volume,2016,2017
1535,HTML5COIN,Abandoned or No Volume,2014,2019
1536,HRLTCGEAR,Abandoned or No Volume,2014,2015
1537,HongKetoCoin,Abandoned or No Volume,2014,2015
1538,Hobbitcoin,Abandoned or No Volume,2014,2014
1539,Hirocoin,Abandoned or No Volume,2014,2014
1540,HighFiveCoin,Abandoned or No Volume,2014,2014
1541,HellasCoin,Abandoned or No Volume,2015,2015
1542,HeelCoin,Abandoned or No Volume,2015,2016
1543,Hedge,Abandoned or No Volume,2017,2018
1544,HazMatCoin,Abandoned or No Volume,2015,2015
1545,High Gain,Abandoned or No Volume,2017,2017
1546,Heisenberg,Scam or Other Issues,2014,2016
1547,HedgeCoin,Scam or Other Issues,2015,2015
1548,Heavycoin,Abandoned or No Volume,2014,2014
1549,Hawaiicoin,Abandoned or No Volume,2014,2015
1550,Hat.Exchange,Abandoned or No Volume,2017,2018
1551,HarmonyCoin,Abandoned or No Volume,2014,2014
1552,Hade Platform,Abandoned or No Volume,2017,2019
1553,H2OCoin,Scam or Other Issues,2014,2014
1554,Guerillacoin,Abandoned or No Volume,2014,2015
1555,HashPay,Abandoned or No Volume,2015,2015
1556,HamRadioCoin,Abandoned or No Volume,2014,2016
1557,Hacker Gold,Abandoned or No Volume,2016,2017
1558,GulfCoin,Abandoned or No Volume,2017,2017
1559,Guarany,Abandoned or No Volume,2014,2016
1560,GSS Coin,Abandoned or No Volume,2014,2016
1561,Grumpycoin,Abandoned or No Volume,2014,2014
1562,GrowthCoin,Abandoned or No Volume,2014,2019
1563,GROUPCoin,Abandoned or No Volume,2014,2014
1564,Gridmaster,Abandoned or No Volume,2015,2015
1565,GSMcoin,Abandoned or No Volume,2015,2016
1566,Grumfork,Scam or Other Issues,2017,2017
1567,GrowCoin,Abandoned or No Volume,2016,2016
1568,GridPay,Abandoned or No Volume,2015,2016
1569,Gridcoin Classic,Abandoned or No Volume,2013,2019
1570,Grexit,Abandoned or No Volume,2015,2015
1571,Greed,Scam or Other Issues,2015,2015
1572,Graviton,Abandoned or No Volume,2015,2015
1573,Masternode Tracker,Scam or Other Issues,2018,2019
1574,Graffiti,Abandoned or No Volume,2015,2015
1575,GreenBacks,Abandoned or No Volume,2014,2015
1576,GreeceCoin,Abandoned or No Volume,2014,2015
1577,GraphCoin,Abandoned or No Volume,2015,2015
1578,Grain,Abandoned or No Volume,2014,2014
1579,Bytecent,Abandoned or No Volume,2015,2019
1580,GPUCoin,Abandoned or No Volume,2014,2015
1581,GorillaTeeth,Abandoned or No Volume,2015,2015
1582,GoodCoin,Abandoned or No Volume,2014,2015
1583,Gokucoin,Abandoned or No Volume,2017,2017
1584,Glyph,Abandoned or No Volume,2014,2014
1585,GotFomo,Abandoned or No Volume,2015,2015
1586,GorillaBucks,Abandoned or No Volume,2015,2015
1587,GoldUnionCoin,Abandoned or No Volume,2017,2018
1588,Goalcoin,Abandoned or No Volume,2017,2018
1589,GlowShares,Abandoned or No Volume,2014,2015
1590,GlowCoin,Scam or Other Issues,2014,2014
1591,GlobalBoost-Y,Abandoned or No Volume,2014,2019
1592,Global Jobcoin,Abandoned or No Volume,2017,2018
1593,GIZMOcoin,Abandoned or No Volume,2015,2015
1594,Giga Watt Token,Abandoned or No Volume,2017,2018
1595,Globe,Abandoned or No Volume,2015,2017
1596,Global Tour Coin,Abandoned or No Volume,2017,2018
1597,GlideSEC,Abandoned or No Volume,2015,2015
1598,GiveCoin,Abandoned or No Volume,2014,2018
